scorer,,,Rahmati,Rahmati,Rahmati,Rahmati,Rahmati,Rahmati
labeled-data,Cam3_2025-04-21 22-29-36,img156.png,1209.4088324163538,216.08312398706477,1176.0244635707172,504.61945472435275,1165.6912065470676,600.003365711886
labeled-data,Cam3_2025-04-21 22-29-36,img189.png,1208.6139664914576,217.67285583685697,1172.0501339462367,503.82458879945665,1161.716876922587,600.798231636782
labeled-data,Cam3_2025-04-21 22-29-36,img194.png,1198.2807094678083,216.08312398706477,1129.1273740018466,487.92727030153446,1107.6659940296518,572.183058340522
labeled-data,Cam3_2025-04-21 22-29-36,img196.png,1195.8961116931198,216.87798991196087,1121.9735806777817,483.1580747521578,1097.3327370060022,572.183058340522
labeled-data,Cam3_2025-04-21 22-29-36,img199.png,1196.690977618016,215.28825806216864,1128.3325080769505,479.18374512767724,1106.0762621798594,565.8241309413532
labeled-data,Cam3_2025-04-21 22-29-36,img215.png,1219.7420894400032,218.4677217617531,1235.6394079379254,506.20918657414495,1241.203469412198,603.9776953363664
labeled-data,Cam3_2025-04-21 22-29-36,img228.png,1196.690977618016,216.87798991196087,1124.35817845247,486.3375384517422,1102.1019325553789,573.7727901903143
labeled-data,Cam3_2025-04-21 22-29-36,img233.png,1199.0755753927042,215.28825806216864,1137.870899175704,480.77347697746944,1120.3838488279894,559.4652035421843
labeled-data,Cam3_2025-04-21 22-29-36,img234.png,1200.6653072424965,216.87798991196087,1145.024692499769,479.97861105257334,1129.9222399267428,561.8498013168727
labeled-data,Cam3_2025-04-21 22-29-36,img238.png,1208.6139664914576,217.67285583685697,1184.7679887445743,490.31186807622277,1178.4090613454055,568.2087287160415
labeled-data,Cam3_2025-04-21 22-29-36,img240.png,1211.793430191042,217.67285583685697,1203.844770942081,495.0810636255994,1207.8191005665615,575.3625220401065
labeled-data,Cam3_2025-04-21 22-29-36,img247.png,1220.5369553648993,216.08312398706477,1234.8445420130292,506.20918657414495,1241.9983353370942,606.3622931110548
labeled-data,Cam3_2025-04-21 22-29-36,img248.png,1219.7420894400032,218.4677217617531,1231.6650783134448,507.0040524990411,1237.2291397877175,610.3366227355353
labeled-data,Cam3_2025-04-21 22-29-36,img249.png,1218.152357590211,218.4677217617531,1226.1010168391722,509.3886502737294,1228.4856146138604,609.5417568106393
labeled-data,Cam3_2025-04-21 22-29-36,img252.png,1213.3831620408343,216.87798991196087,1201.4601731673927,507.7989184239372,1191.9217820686395,607.952024960847
labeled-data,Cam3_2025-04-21 22-29-36,img260.png,1198.2807094678083,216.87798991196087,1128.3325080769505,487.92727030153446,1105.2813962549633,575.3625220401065
labeled-data,Cam3_2025-04-21 22-29-36,img275.png,1216.5626257404188,216.87798991196087,1222.1266872146916,500.6451250998722,1230.0753464636527,588.0803768384443
labeled-data,Cam3_2025-04-21 22-29-36,img281.png,1218.152357590211,217.67285583685697,1227.6907486889643,507.7989184239372,1231.6650783134448,607.952024960847
labeled-data,Cam3_2025-04-21 22-29-36,img286.png,1210.9985642661459,217.67285583685697,1183.9731228196783,507.0040524990411,1175.229597645821,603.9776953363664
labeled-data,Cam3_2025-04-21 22-29-36,img297.png,1199.0755753927042,216.08312398706477,1132.306837701431,479.97861105257334,1115.6146532786129,564.234399091561
labeled-data,Cam3_2025-04-21 22-29-36,img303.png,1207.0242346416653,216.08312398706477,1181.5885250449899,487.92727030153446,1174.434731720925,565.8241309413532
labeled-data,Cam3_2025-04-21 22-29-36,img312.png,1218.947223515107,217.67285583685697,1230.0753464636527,506.20918657414495,1237.2291397877175,604.7725612612626
labeled-data,Cam3_2025-04-21 22-29-36,img322.png,1204.639636866977,216.08312398706477,1151.3836198989377,499.8502591749761,1133.8965695512234,588.8752427633403
