scorer,,,Rahmati,Rahmati,Rahmati,Rahmati,Rahmati,Rahmati
labeled-data,Cam2_2025-04-21 22-29-36,img179.png,941.4126738476702,68.72140921946067,986.8761804840591,401.0753198027164,1007.2563731141644,509.2471114548139
labeled-data,Cam2_2025-04-21 22-29-36,img181.png,942.980380973063,68.72140921946067,997.850130361808,404.99458761619826,1015.8787623038243,510.0309650175102
labeled-data,Cam2_2025-04-21 22-29-36,img189.png,930.4387239699213,53.044337965533515,935.1418453460994,417.53624461934,937.4934060341885,534.3304254610973
labeled-data,Cam2_2025-04-21 22-29-36,img190.png,927.3033097191359,69.50526278215702,921.032481217565,415.9685374939472,915.5455062786905,534.3304254610973
labeled-data,Cam2_2025-04-21 22-29-36,img196.png,910.058531339816,67.15370209406794,844.9986856360183,404.99458761619826,823.8346394432166,514.7340863936884
labeled-data,Cam2_2025-04-21 22-29-36,img206.png,924.9517490310468,67.15370209406794,915.5455062786905,399.5076126773238,915.5455062786905,507.6794043294211
labeled-data,Cam2_2025-04-21 22-29-36,img223.png,926.5194561564394,69.50526278215702,909.2746777771197,416.75239105664366,901.436142150156,532.7627183357046
labeled-data,Cam2_2025-04-21 22-29-36,img228.png,910.058531339816,67.93755565676432,848.1340998868036,404.2107340535018,828.5377608193946,517.0856470817774
labeled-data,Cam2_2025-04-21 22-29-36,img229.png,910.8423849025123,67.93755565676432,842.6471249479291,403.4268804908055,821.4830787551275,514.7340863936884
labeled-data,Cam2_2025-04-21 22-29-36,img235.png,915.5455062786905,67.93755565676432,867.7304389542126,400.2914662400201,851.2695141375891,499.84086870245756
labeled-data,Cam2_2025-04-21 22-29-36,img238.png,923.384041905654,67.93755565676432,910.058531339816,401.85917336541286,908.4908242144232,501.4085758278503
labeled-data,Cam2_2025-04-21 22-29-36,img247.png,943.7642345357593,66.36984853137159,996.2824232364153,407.34614830428734,1013.5272016157352,514.7340863936884
labeled-data,Cam2_2025-04-21 22-29-36,img254.png,930.4387239699213,69.50526278215702,932.0064310953139,418.3200981820363,933.5741382207067,534.3304254610973
labeled-data,Cam2_2025-04-21 22-29-36,img276.png,936.7095524714921,67.15370209406794,973.5506699182209,404.2107340535018,993.1470089856299,511.59867214290296
labeled-data,Cam2_2025-04-21 22-29-36,img279.png,941.4126738476702,67.93755565676432,993.9308625483262,405.7784411788946,1014.3110551784316,516.3017935190811
labeled-data,Cam2_2025-04-21 22-29-36,img280.png,942.1965274103667,68.72140921946067,993.9308625483262,408.13000186698366,1013.5272016157352,519.4372077698665
labeled-data,Cam2_2025-04-21 22-29-36,img284.png,937.4934060341885,68.72140921946067,977.4699377317028,411.2654161177692,993.1470089856299,528.8434505222228
labeled-data,Cam2_2025-04-21 22-29-36,img289.png,923.384041905654,68.72140921946067,907.7069706517268,417.53624461934,899.8684350247634,534.3304254610973
labeled-data,Cam2_2025-04-21 22-29-36,img295.png,909.2746777771197,66.36984853137159,844.2148320733219,402.6430269281092,824.6184930059129,512.3825257055993
labeled-data,Cam2_2025-04-21 22-29-36,img297.png,910.8423849025123,69.50526278215702,844.9986856360183,398.72375911462734,824.6184930059129,509.2471114548139
labeled-data,Cam2_2025-04-21 22-29-36,img301.png,917.1132134040831,67.93755565676432,882.6236566454434,398.72375911462734,873.217413893087,512.3825257055993
labeled-data,Cam2_2025-04-21 22-29-36,img320.png,929.654870407225,71.07296990754975,929.654870407225,416.75239105664366,928.0871632818322,533.546571898401
labeled-data,Cam2_2025-04-21 22-29-36,img333.png,915.5455062786905,65.58599496867524,868.514292516909,397.939905551931,852.0533677002854,495.92160088897583
labeled-data,Cam2_2025-04-21 22-29-36,img337.png,924.1678954683505,67.93755565676432,921.8163347802613,401.0753198027164,921.032481217565,504.5439900786357
